,wall_time,step,value,dataset,resolution,model_step,sampler,vae,num_fad_samples,fad_model,reference_dataset
209,1716685041.9727526,0,5.740716457366943,ssd,256,40000,ddim,,409,vggish,spotify_sleep_dataset
210,1716685044.738362,0,0.7790440917015076,ssd,256,40000,ddim,,409,clap-laion-audio,fma_pop
211,1716685047.492507,0,0.8623453378677368,ssd,256,40000,ddim,,409,clap-laion-music,fma_pop
212,1716685049.8390903,0,11.457280158996582,ssd,256,40000,ddim,,409,vggish,fma_pop
213,1716685052.4735546,0,0.7516558766365051,ssd,256,40000,ddim,,409,clap-laion-audio,musiccaps
214,1716685055.204978,0,0.8621425032615662,ssd,256,40000,ddim,,409,clap-laion-music,musiccaps
215,1716685057.6651454,0,15.406704902648926,ssd,256,40000,ddim,,409,vggish,musiccaps
216,1716683931.0558665,0,0.623324990272522,ssd,256,40000,ddim,,1024,clap-laion-audio,spotify_sleep_dataset
217,1716684164.1621459,0,0.6115424036979675,ssd,256,40000,ddim,,1024,clap-laion-music,spotify_sleep_dataset
218,1716684337.9865491,0,5.630120277404785,ssd,256,40000,ddim,,1024,vggish,spotify_sleep_dataset
219,1716684396.5687394,0,0.7586297392845154,ssd,256,40000,ddim,,1024,clap-laion-audio,fma_pop
220,1716684500.3263059,0,0.844182014465332,ssd,256,40000,ddim,,1024,clap-laion-music,fma_pop
221,1716684646.2530296,0,10.959674835205078,ssd,256,40000,ddim,,1024,vggish,fma_pop
222,1716684731.466835,0,0.7295253276824951,ssd,256,40000,ddim,,1024,clap-laion-audio,musiccaps
223,1716684806.277944,0,0.842279314994812,ssd,256,40000,ddim,,1024,clap-laion-music,musiccaps
224,1716684881.1172833,0,15.071847915649414,ssd,256,40000,ddim,,1024,vggish,musiccaps
225,1716685044.3443167,0,0.6230277419090271,ssd,256,40000,ddim,,1843,clap-laion-audio,spotify_sleep_dataset
226,1716685153.2150867,0,0.6107829213142395,ssd,256,40000,ddim,,1843,clap-laion-music,spotify_sleep_dataset
227,1716685187.3832645,0,5.711682319641113,ssd,256,40000,ddim,,1843,vggish,spotify_sleep_dataset
228,1716685191.5811799,0,0.7604846954345703,ssd,256,40000,ddim,,1843,clap-laion-audio,fma_pop
229,1716685195.7793183,0,0.8456392288208008,ssd,256,40000,ddim,,1843,clap-laion-music,fma_pop
230,1716685199.6365516,0,11.138538360595703,ssd,256,40000,ddim,,1843,vggish,fma_pop
231,1716685203.4955328,0,0.7317132949829102,ssd,256,40000,ddim,,1843,clap-laion-audio,musiccaps
232,1716685207.4533553,0,0.8424800634384155,ssd,256,40000,ddim,,1843,clap-laion-music,musiccaps
233,1716685210.7370741,0,15.13991928100586,ssd,256,40000,ddim,,1843,vggish,musiccaps
234,1716267516.0219111,0,0.9496588706970215,ssd,64,40000,ddpm,,2048,clap-laion-audio,spotify_sleep_dataset
235,1716267567.154915,0,0.8376287221908569,ssd,64,40000,ddpm,,2048,clap-laion-music,spotify_sleep_dataset
236,1716267641.5601978,0,48.0794563293457,ssd,64,40000,ddpm,,2048,encodec-emb-48k,spotify_sleep_dataset
237,1716267675.8478606,0,189.23635864257812,ssd,64,40000,ddpm,,2048,encodec-emb,spotify_sleep_dataset
238,1716267724.4270234,0,53.08641815185547,ssd,64,40000,ddpm,,2048,MERT-v1-95M,spotify_sleep_dataset
239,1716267727.3274302,0,0.9664255976676941,ssd,64,40000,ddpm,,2048,clap-laion-audio,fma_pop
240,1716267730.2164416,0,1.0137207508087158,ssd,64,40000,ddpm,,2048,clap-laion-music,fma_pop
241,1716267753.5121093,0,168.3959197998047,ssd,64,40000,ddpm,,2048,encodec-emb-48k,fma_pop
242,1716267756.0911813,0,522.50732421875,ssd,64,40000,ddpm,,2048,encodec-emb,fma_pop
243,1716267759.7243989,0,51.81114959716797,ssd,64,40000,ddpm,,2048,MERT-v1-95M,fma_pop
244,1716267762.588042,0,0.9400225877761841,ssd,64,40000,ddpm,,2048,clap-laion-audio,musiccaps
245,1716267765.3878078,0,1.0308947563171387,ssd,64,40000,ddpm,,2048,clap-laion-music,musiccaps
246,1716267788.1172903,0,130.5143585205078,ssd,64,40000,ddpm,,2048,encodec-emb-48k,musiccaps
247,1716267790.49671,0,408.2763366699219,ssd,64,40000,ddpm,,2048,encodec-emb,musiccaps
248,1716267793.7161582,0,47.47027587890625,ssd,64,40000,ddpm,,2048,MERT-v1-95M,musiccaps
249,1716685884.4844618,0,0.952147901058197,ssd,64,40000,ddpm,,819,clap-laion-audio,spotify_sleep_dataset
250,1716685920.1629837,0,0.8425330519676208,ssd,64,40000,ddpm,,819,clap-laion-music,spotify_sleep_dataset
251,1716685931.811494,0,0.9719435572624207,ssd,64,40000,ddpm,,819,clap-laion-audio,fma_pop
252,1716685934.6734295,0,1.018656611442566,ssd,64,40000,ddpm,,819,clap-laion-music,fma_pop
253,1716685946.7504957,0,0.947053849697113,ssd,64,40000,ddpm,,819,clap-laion-audio,musiccaps
